Name,Nationality,Overall,Club,Value,Position
J. Williams,England,48,Northampton Town,€50K,CB
M. Roberts,England,48,Northampton Town,€60K,LM
M. Frøkjær-Jensen,Denmark,48,Odense Boldklub,€60K,CM
H. Norris,England,48,Oldham Athletic,€50K,CB
N. Ayéva,Sweden,48,Örebro SK,€70K,ST
T. Pugh,England,48,Scunthorpe United,€60K,CM
K. Taylor,England,48,Shrewsbury,€60K,CM
M. Hurst,Scotland,48,St. Johnstone FC,€40K,GK
J. Manley,Republic of Ireland,48,St. Patrick's Athletic,€40K,CB
Wu Lei,China PR,48,Tianjin Quanjian FC,€40K,LDM
J. Devine,England,48,Tranmere Rovers,€50K,CM
T. Gundelund,Denmark,48,Vejle Boldklub,€50K,RWB
P. Wieliczko,Poland,48,Wis?a P?ock,€40K,CM
J. Yabur,Colombia,49,Atlético Nacional,€50K,CM
J. Greatorex,England,49,Barnsley,€50K,GK
F. Sinclair-Smith,England,49,Blackpool,€60K,ST
C. Levingston,Republic of Ireland,49,Bohemian FC,€50K,CM
G. Hollywood,Republic of Ireland,49,Bray Wanderers,€60K,CM
M. Foy,England,49,Cambridge United,€50K,ST
J. Egan,England,49,Carlisle United,€60K,RM
J. Garcia Sossa,Bolivia,49,CD Huachipato,€70K,CAM
Yin Congyao,China PR,49,Chongqing Dangdai Lifan FC SWM Team,€50K,CAM
Liu Bin,China PR,49,Chongqing Dangdai Lifan FC SWM Team,€60K,CDM
B. Sass-Davies,Wales,49,Crewe Alexandra,€60K,CB
O. Finney,England,49,Crewe Alexandra,€60K,CM
R. Griffiths,England,49,Crewe Alexandra,€60K,LM
G. Figliuzzi,Italy,49,Crotone,€50K,GK
M. Finne Wørts,Denmark,49,FC Nordsjælland,€50K,CB
N. Stephan,Germany,49,FC Würzburger Kickers,€50K,GK
B. Buckley,England,49,Grimsby Town,€50K,CAM
Chen Yajun,China PR,49,Guangzhou R&F; FC,€60K,CM
Li Yuyang,China PR,49,Guangzhou R&F; FC,€50K,CM
R. Hughes,Scotland,49,Hamilton Academical FC,€60K,CM
Xie Xiaofan,China PR,49,Jiangsu Suning FC,€50K,CM
D. Mackay,Scotland,49,Kilmarnock,€30K,GK
T. O'Connor,Republic of Ireland,49,Limerick FC,€40K,CB
J. James,Republic of Ireland,49,Luton Town,€50K,RB
K. Hawley,England,49,Morecambe,€40K,ST
F. Ranocchia,Italy,49,Perugia,€60K,CM
A. Kelsey,England,49,Scunthorpe United,€50K,GK
Zhu Jiayi,China PR,49,Shanghai SIPG FC,€50K,CB
N. Morahan,Republic of Ireland,49,Sligo Rovers,€60K,CM
D. Collins,Republic of Ireland,49,Sligo Rovers,€50K,LM
M. Dyrmose,Denmark,49,SønderjyskE,€50K,LB
A. Iontton,England,49,Stevenage,€60K,CM
W. Appleyard,England,49,Stevenage,€50K,GK
M. Harsman,Germany,49,SV Meppen,€50K,GK
W. Henry,England,49,Swindon Town,€50K,GK
Liu Yaoxin,China PR,49,Tianjin TEDA FC,€40K,CM
L. Klitten,Denmark,50,Aalborg BK,€50K,LB
D. Campbell,Scotland,50,Aberdeen,€60K,CM
F. Nørgaard,Denmark,50,AC Horsens,€50K,GK
S. Dawood,Saudi Arabia,50,Al Batin,€50K,CB
M. Mansour,Saudi Arabia,50,Al Batin,€30K,LB
M. Al Dhafeeri,Saudi Arabia,50,Al Batin,€50K,ST
S. Al Wehimid,Saudi Arabia,50,Al Nassr,€50K,GK
M. Al Qaydhi,Saudi Arabia,50,Al Raed,€40K,CB
S. Al Saeed,Saudi Arabia,50,Al Taawoun,€60K,CM
C. Mesa,Colombia,50,América de Cali,€60K,CB
L. Valeau,Italy,50,Ascoli,€60K,CM
K. Lara,Colombia,50,Atlético Huila,€60K,RB
A. Perea,Colombia,50,Atlético Nacional,€60K,CM
K. Civelek,Turkey,50,BB Erzurumspor,€30K,GK
E. Destanoglu,Turkey,50,Be?ikta? JK,€50K,GK
A. Ousou,Sweden,50,BK Häcken,€50K,CB
B. Arapovic,Sweden,50,BK Häcken,€60K,CM
J. Cleary,Republic of Ireland,50,Bohemian FC,€50K,GK
P. Omochere,Republic of Ireland,50,Bohemian FC,€60K,RM
C. Walsh,Republic of Ireland,50,Bray Wanderers,€50K,CB
J. Kelly,Republic of Ireland,50,Bray Wanderers,€50K,GK
B. O'Gorman,Republic of Ireland,50,Bray Wanderers,€60K,RM
J. Lindstrøm,Denmark,50,Brøndby IF,€60K,CAM
G. Arndal-Lauritzen,Denmark,50,Brøndby IF,€60K,LB
T. Knowles,England,50,Cambridge United,€40K,ST
Han Zilong,China PR,50,Changchun Yatai FC,€40K,LM
R. Hackett-Fairchild,England,50,Charlton Athletic,€70K,ST
P. Phillips,Republic of Ireland,50,Cork City,€50K,CM
R. Hurley,Republic of Ireland,50,Cork City,€40K,LB
T. Allarakhia,England,50,Crawley Town,€50K,RM
J. Lynch,England,50,Crewe Alexandra,€60K,CAM
T. Johnson,England,50,Crewe Alexandra,€50K,RB
R. Pasquel,Mexico,50,Deportivo Toluca,€40K,GK
B. Horton,England,50,Doncaster Rovers,€50K,LB
J. Morris,England,50,Doncaster Rovers,€60K,ST
S. Bækgaard,Denmark,50,Esbjerg fB,€60K,CM
J. Mortensen,Denmark,50,Esbjerg fB,€60K,LB
K. Moesgaard,Denmark,50,Esbjerg fB,€50K,LM
O. Olsen,Denmark,50,FC Midtjylland,€50K,RWB
M. Gudmann,Denmark,50,FC Nordsjælland,€50K,CB
O. Dzonlagic,Switzerland,50,FC Thun,€50K,RM
M. Humpenöder,Germany,50,FC Würzburger Kickers,€30K,GK
M. Ichimaru,Japan,50,Gamba Osaka,€60K,CDM
R. Shibamoto,Japan,50,Gamba Osaka,€60K,CM
P. Paya,Sweden,50,GIF Sundsvall,€50K,CDM
E. Bilen,Turkey,50,Göztepe SK,€50K,GK
Zhang Gong,China PR,50,Guangzhou R&F; FC,€30K,CDM
Chen Ji,China PR,50,Guizhou Hengfeng FC,€50K,LM
O. Ollikainen,Finland,50,HJK Helsinki,€60K,CM
C. Cappis,United States,50,Hobro IK,€60K,CM
E. Dahlqvist,Sweden,50,IFK Göteborg,€60K,LWB
C. Björk,Sweden,50,IFK Norrköping,€60K,CF
G. Tegue,Colombia,50,Independiente Medellín,€50K,CB
J. Miszczuk,Poland,50,Jagiellonia Bia?ystok,€20K,GK
Zhang Jingyi,China PR,50,Jiangsu Suning FC,€30K,GK
Gao Dalun,China PR,50,Jiangsu Suning FC,€40K,ST
T. Miyamoto,Japan,50,Kashiwa Reysol,€60K,LB
G. Barry,Republic of Ireland,50,Limerick FC,€50K,CM
M. Antkowiak,Poland,50,Lincoln City,€30K,GK
J. Adebayo-Smith,United States,50,Lincoln City,€60K,ST
M. Sutton,Australia,50,Melbourne Victory,€60K,GK
D. Asonganyi,England,50,Milton Keynes Dons,€70K,ST
T. Brownsword,England,50,Morecambe,€50K,CB
B. Hedley,England,50,Morecambe,€50K,CDM
J. Foulston,Wales,50,Newport County,€50K,CB
S. Whaler,England,50,Northampton Town,€60K,RM
H. Bernat,Denmark,50,Odense Boldklub,€50K,GK
J. Sheridan,England,50,Oldham Athletic,€50K,LB
A. Mills,England,50,Östersunds FK,€30K,GK
Kwon Ki Pyo,Korea Republic,50,Pohang Steelers,€50K,ST
H. Benns,England,50,Port Vale,€40K,RW
S. Parada,Chile,50,San Luis de Quillota,€60K,ST
S. Foss,Norway,50,Sandefjord Fotball,€40K,CB
J. Granlund,Norway,50,Sandefjord Fotball,€50K,GK
T. Kawamura,Japan,50,Sanfrecce Hiroshima,€50K,CM
J. García,Mexico,50,Santos Laguna,€40K,GK
D. Dillon,Republic of Ireland,50,Shamrock Rovers,€60K,CM
Chen Zhao,China PR,50,Shanghai Greenland Shenhua FC,€40K,GK
Zhang Enge,China PR,50,Shanghai SIPG FC,€40K,CB
M. Alvir,Croatia,50,SK Slavia Praha,€40K,CM
V. Smedsrud,Denmark,50,SønderjyskE,€50K,GK
T. Jacobsen,Faroe Islands,50,SønderjyskE,€60K,RM
Hong Hyeon Seok,Korea Republic,50,SpVgg Unterhaching,€50K,CM
A. Osmanoski,FYR Macedonia,50,SpVgg Unterhaching,€60K,CM
C. Hughes,Republic of Ireland,50,St. Patrick's Athletic,€50K,CM
H. Wulff,Norway,50,Stabæk Fotball,€50K,GK
Zhou Xin,China PR,50,Stabæk Fotball,€40K,RB
T. Callens,France,50,Stade Malherbe Caen,€50K,GK
Liu Yi,China PR,50,Tianjin Quanjian FC,€40K,CDM
Sun Qibin,China PR,50,Tianjin Quanjian FC,€20K,GK
Teng Shangkun,China PR,50,Tianjin TEDA FC,€20K,GK
C. Landa,Mexico,50,Tiburones Rojos de Veracruz,€50K,CM
J. Hipper,Germany,50,TSV 1860 München,€30K,GK
M. Schantl,Austria,50,TSV Hartberg,€60K,CM
L. Cornic,Norway,50,Vålerenga Fotball,€60K,RB
Zeng Qingshen,China PR,50,Vejle Boldklub,€50K,CM
Zhen'ao Wang,China PR,50,Vejle Boldklub,€50K,LW
J. Martin,Republic of Ireland,50,Waterford FC,€60K,CAM
M. Connor,Republic of Ireland,50,Waterford FC,€50K,GK
M. Tokich,Australia,50,Western Sydney Wanderers,€60K,CM
N. Suman,Australia,50,Western Sydney Wanderers,€50K,GK
A. Suzuki,Japan,50,Yokohama F. Marinos,€20K,GK
P. ?yra,Poland,50,Zag??bie Lubin,€50K,CM
A. Bærtelsen,Denmark,51,Aalborg BK,€70K,CB
B. Hvidt,Denmark,51,Aarhus GF,€80K,CM
S. Bugge Jepsen,Denmark,51,Aarhus GF,€80K,CM
A. Ammitzbøll,Denmark,51,Aarhus GF,€70K,ST
D. Craddock,Republic of Ireland,51,Aberdeen,€70K,GK
F. Mortensen,Denmark,51,AC Horsens,€70K,CM
T. Rohde,Denmark,51,AC Horsens,€80K,ST
P. Niyongabire,Burundi,51,Adelaide United,€80K,CAM
K. Konstandopoulos,Australia,51,Adelaide United,€80K,CAM
I. Richards,Australia,51,Adelaide United,€70K,GK
O. Urhoghide,England,51,AFC Wimbledon,€40K,CB
A. Al Yousif,Saudi Arabia,51,Al Fateh,€50K,LB
L. Finochietto,Argentina,51,Argentinos Juniors,€40K,GK
K. Salazar,Colombia,51,Atlético Huila,€70K,CM
J. García,Chile,51,Audax Italiano,€40K,GK
M. Wolfe,England,51,Barnsley,€80K,CM
Wang Xuanhong,China PR,51,Beijing Renhe FC,€40K,CM
Yu Bin,China PR,51,Beijing Renhe FC,€50K,RB
R. Graydon,Republic of Ireland,51,Bohemian FC,€80K,RM
A. Reghba,Republic of Ireland,51,Bohemian FC,€80K,ST
C. Romaña,Colombia,51,Boyacá Chicó FC,€70K,CB
D. Mamaliga,Moldova,51,Bray Wanderers,€70K,CM
A. McGovern,Republic of Ireland,51,Bray Wanderers,€70K,LB
J. Ellis,England,51,Bray Wanderers,€70K,RS
S. Bareiro,Paraguay,51,CD Huachipato,€70K,ST
Zhang Hengyuan,China PR,51,Changchun Yatai FC,€60K,CDM
T. Stevenson,England,51,Charlton Athletic,€70K,LB
C. Murphy,Republic of Ireland,51,Cork City,€80K,ST
C. Addai,Ghana,51,Coventry City,€50K,GK
B. Galach,Poland,51,Crawley Town,€60K,ST
L. Reilly,England,51,Crewe Alexandra,€80K,ST
C. Pavéz,Chile,51,Curicó Unido,€70K,CM
Min Gyeong Min,Korea Republic,51,Daegu FC,€50K,CM
Yang Fangzhi,China PR,51,Dalian YiFang FC,€50K,RW
A. Delap,Republic of Ireland,51,Derry City,€70K,CDM
G. Smith,Northern Ireland,51,Dundalk,€60K,CB
J. O'Keeffe,Republic of Ireland,51,Dundalk,€80K,ST
E. López,Colombia,51,Envigado FC,€80K,CM
M. Larsen,Denmark,51,Esbjerg fB,€70K,CM
W. Møller,Denmark,51,Esbjerg fB,€70K,ST
W. Dean,England,51,Exeter City,€70K,CM
B. Seymour,England,51,Exeter City,€70K,ST
B. Reynolds,United States,51,FC Dallas,€80K,ST
I. Umbdenstock,France,51,FC Sochaux-Montbéliard,€60K,CDM
A. Kräuchi,Switzerland,51,FC St. Gallen,€60K,LM
D. Schwizer,Switzerland,51,FC Thun,€60K,CAM
C. Øyvann,Norway,51,FK Bodø/Glimt,€70K,CB
A. Skindlo,Norway,51,FK Bodø/Glimt,€60K,ST
M. Arena,Italy,51,Foggia,€50K,CB
K. Ramè,France,51,Foggia,€70K,CDM
S. Sarri,Italy,51,Foggia,€70K,GK
L. Cavallini,Italy,51,Foggia,€80K,LW
R. Meshino,Japan,51,Gamba Osaka,€70K,ST
L. Catherall,England,51,Gillingham,€40K,GK
L. Hunn,Switzerland,51,Grasshopper Club Zürich,€70K,GK
Deng Yubiao,China PR,51,Guangzhou Evergrande Taobao FC,€60K,CM
Cai Haojian,China PR,51,Guangzhou R&F; FC,€50K,CM
Zhang Yuan,China PR,51,Guizhou Hengfeng FC,€60K,CM
Zhu Zhengyu,China PR,51,Guizhou Hengfeng FC,€50K,RM
Kim Jong Jin,Korea Republic,51,Gyeongnam FC,€70K,CM
M. Bloomfield,England,51,Hamilton Academical FC,€50K,ST
Ali Shirmemet,China PR,51,Henan Jianye FC,€60K,CAM
F. Murray,Scotland,51,Hibernian,€80K,LM
S. Laitinen,Finland,51,HJK Helsinki,€70K,RB
M. Skjellerup,Denmark,51,Hobro IK,€50K,ST
E. McCue,Sweden,51,Houston Dynamo,€70K,CB
J. Valbuena,Colombia,51,Independiente Medellín,€50K,CAM
B. Zamora,Colombia,51,Independiente Santa Fe,€70K,CM
Lee Dong Hee,Korea Republic,51,Jeju United FC,€50K,CM
Abdugheni Abduhamit,China PR,51,Jiangsu Suning FC,€60K,RM
T. Harigaya,Japan,51,Júbilo Iwata,€80K,CM
T. Schneider,Germany,51,KFC Uerdingen 05,€40K,GK
J. Osobi?ski,Poland,51,Korona Kielce,€40K,GK
M. Wo?niak,Poland,51,Lechia Gda?sk,€60K,GK
C. Kennedy,Republic of Ireland,51,Limerick FC,€40K,CB
A. Read,England,51,Luton Town,€60K,LM
F. Konstandeliasz,Sweden,51,Malmö FF,€80K,LM
M. Najjar,Australia,51,Melbourne City FC,€80K,ST
H. Kisiel,Poland,51,Mied? Legnica,€70K,CM
J. Szpaderski,Poland,51,Mied? Legnica,€70K,GK
H. Ræstad,Norway,51,Molde FK,€40K,GK
Carlos Mendes Gomes,Spain,51,Morecambe,€60K,CAM
L. Brown,Scotland,51,Motherwell,€80K,CM
J. Caldwell,United States,51,New York City FC,€50K,GK
S. Pollock,England,51,Northampton Town,€70K,CM
C. McWilliams,England,51,Northampton Town,€60K,RB
F. Delaveris,Norway,51,Odds BK,€70K,LW
J. Harboe,Denmark,51,Odense Boldklub,€80K,CM
A. Bark,Sweden,51,Örebro SK,€70K,ST
B. Taverner,England,51,Oxford United,€70K,ST
L. Jephcott,Wales,51,Plymouth Argyle,€80K,ST
T. Stead,England,51,Preston North End,€70K,CB
J. Baxter,England,51,Preston North End,€70K,CM
A. O'Reilly,Republic of Ireland,51,Preston North End,€70K,CM
S. Graves,Denmark,51,Randers FC,€50K,CB
O. Schindler,Hungary,51,SC Paderborn 07,€70K,CDM
J. Conze,Germany,51,SC Preußen Münster,€80K,LM
Cao Sheng,China PR,51,Shandong Luneng TaiShan FC,€50K,RW
J. Rowland,England,51,Shrewsbury,€70K,CAM
L. Mwandwe,England,51,Shrewsbury,€70K,ST
E. Harloff,Norway,51,SK Brann,€50K,GK
D. Mehmedovic,Austria,51,SKN St. Pölten,€70K,LB
L. Kerrigan,Republic of Ireland,51,Sligo Rovers,€80K,CAM
D. Thiam,Senegal,51,SPAL,€70K,GK
J. Imbrechts,Sweden,51,Sporting de Charleroi,€70K,GK
J. Heaton,England,51,St. Mirren,€60K,CB
C. Kelly,Republic of Ireland,51,St. Patrick's Athletic,€60K,LB
L. Wade-Slater,Republic of Ireland,51,Stevenage,€50K,RB
C. Royo,Germany,51,SV Darmstadt 98,€60K,LB
S. Twine,England,51,Swindon Town,€60K,ST
Ding Bowei,China PR,51,Tianjin TEDA FC,€40K,GK
A. Daniels,Canada,51,Toronto FC,€60K,CAM
J. Dunn,Canada,51,Toronto FC,€70K,CB
H. Andersson,Sweden,51,Trelleborgs FF,€60K,ST
K. Ogudugu,Norway,51,Vålerenga Fotball,€70K,RW
D. Hodzic,Croatia,51,Vejle Boldklub,€50K,GK
J. Svenningsen,Denmark,51,Vendsyssel FF,€40K,CB
A. Eleftheriou,England,51,Watford,€60K,RM
T. Mourdoukoutas,Australia,51,Western Sydney Wanderers,€70K,CB
M. Grabowski,Poland,51,Wis?a Kraków,€50K,LB
R. Grym,Poland,51,Wis?a P?ock,€60K,CM
J. Steiger,Austria,51,Wolfsberger AC,€80K,CM
L. Schöfl,Austria,51,Wolfsberger AC,€80K,CM
T. Nakagawa,Japan,51,Yokohama F. Marinos,€40K,RW
J. Pawlik,Poland,51,Zag??bie Sosnowiec,€70K,LB
B. Bytyqi,Albania,52,Aalborg BK,€80K,LB
M. Kaufmann,Denmark,52,Aalborg BK,€100K,ST
O. Klitten,Denmark,52,Aalborg BK,€100K,ST
K. Thiesson Kristensen,Denmark,52,Aarhus GF,€80K,GK
D. Thøgersen,Denmark,52,Aarhus GF,€90K,LB
N. Gribenco,Denmark,52,Aarhus GF,€90K,LM
A. Scott,Northern Ireland,52,Accrington Stanley,€100K,ST
A. Stamatelopoulos,Australia,52,Adelaide United,€110K,ST
A. Al Sabahi,Saudi Arabia,52,Al Batin,€80K,CM
M. Al Saeed,Saudi Arabia,52,Al Fateh,€80K,LM
N. Al Farshan,Saudi Arabia,52,Al Nassr,€110K,CM
R. Al Najjar,Saudi Arabia,52,Al Shabab,€60K,GK
A. Al Moghir,Saudi Arabia,52,Al Taawoun,€60K,CB
M. Al Baqawi,Saudi Arabia,52,Al Taawoun,€60K,GK
Ning Weichen,China PR,52,Beijing Sinobo Guoan FC,€80K,ST
K. Yakob,Sweden,52,BK Häcken,€100K,CM
M. Boney,England,52,Blackpool,€90K,GK
D. Mandroiu,Republic of Ireland,52,Bohemian FC,€110K,CM
S. Bohan,Republic of Ireland,52,Bohemian FC,€80K,GK
P. Kirk,Republic of Ireland,52,Bohemian FC,€60K,LB
C. Cañizales,Colombia,52,Boyacá Chicó FC,€110K,CAM
H. Smith,England,52,Bristol City,€100K,CB
A. André Jr,Morocco,52,Bristol Rovers,€60K,GK
M. Frendrup,Denmark,52,Brøndby IF,€100K,CM
C. Hauervig,Denmark,52,Brøndby IF,€90K,GK
C. Brown,England,52,Cardiff City,€80K,CB
A. Romairone,Italy,52,Carpi,€100K,ST
C. Gutiérrez,Chile,52,CD Antofagasta,€100K,ST
J. Riquelme,Chile,52,CD Huachipato,€90K,LB
G. Zuñiga,Chile,52,CD O'Higgins,€60K,RB
T. Nagaishi,Japan,52,Cerezo Osaka,€60K,GK
Xue Yanan,China PR,52,Changchun Yatai FC,€40K,RB
F. Bustamante,Argentina,52,Club Atlético Tigre,€110K,RM
D. Sesay,England,52,Crawley Town,€100K,RWB
W. Jääskeläinen,Finland,52,Crewe Alexandra,€90K,GK
M. Ormazábal,Chile,52,Curicó Unido,€90K,RW
Zhou Ting,China PR,52,Dalian YiFang FC,€10K,CM
Dong Honglin,China PR,52,Dalian YiFang FC,€70K,ST
A. Ekblad,Sweden,52,Dalkurd FF,€40K,CB
P. Azizi,Sweden,52,Dalkurd FF,€40K,CB
O. Jonsson,Sweden,52,Djurgårdens IF,€60K,GK
C. Moore,Scotland,52,Dundee FC,€100K,CM
J. Lambert,England,52,Dundee FC,€110K,RM
G. Tsitaishvili,Ukraine,52,Dynamo Kyiv,€100K,RM
G. Meli,Italy,52,Empoli,€90K,GK
S. Noreña,Colombia,52,Envigado FC,€100K,CB
A. Collins,England,52,Exeter City,€100K,CAM
F. Norman,England,52,Exeter City,€80K,GK
J. Sparkes,England,52,Exeter City,€100K,LM
M. Köstenbauer,Austria,52,FC Admira Wacker Mödling,€90K,GK
G. Pintidis,Germany,52,FC Ingolstadt 04,€100K,CM
J. Cajuste,Sweden,52,FC Midtjylland,€90K,CDM
E. Damgaard,Denmark,52,FC Nordsjælland,€70K,RWB
G. Tolino,Switzerland,52,FC St. Gallen,€100K,GK
N. Ziswiler,Switzerland,52,FC Thun,€80K,GK
I. Aliu,Switzerland,52,FC Zürich,€100K,CM
R. Hauge,Norway,52,FK Bodø/Glimt,€100K,CM
B. Grøtterud,Norway,52,FK Bodø/Glimt,€50K,GK
L. Baines,England,52,Fleetwood Town,€100K,CB
H. Biggins,England,52,Fleetwood Town,€80K,CM
N. Senoo,Japan,52,Gamba Osaka,€80K,CAM
T. Ko,Japan,52,Gamba Osaka,€110K,CM
Liu Shibo,China PR,52,Guangzhou Evergrande Taobao FC,€70K,GK
Feng Boxuan,China PR,52,Guangzhou Evergrande Taobao FC,€80K,RM
Zheng Zhiming,China PR,52,Guangzhou R&F; FC,€80K,CB
Anwar Memet Ali,China PR,52,Guizhou Hengfeng FC,€70K,ST
R. Cunningham,Scotland,52,Hamilton Academical FC,€110K,CM
E. Bojang,Sweden,52,Hammarby IF,€80K,GK
Jin Qi,China PR,52,Henan Jianye FC,€70K,CB
V. Vesiaho,Finland,52,HJK Helsinki,€80K,CB
K. Kouassivi-Benissan,Finland,52,HJK Helsinki,€100K,RB
A. Kappenberger,Denmark,52,Hobro IK,€70K,GK
T. Hama,Japan,52,Hokkaido Consadole Sapporo,€60K,CB
R. Fujimura,Japan,52,Hokkaido Consadole Sapporo,€80K,CF
M. Nelson,United States,52,Houston Dynamo,€50K,GK
A. Öhman,Sweden,52,IFK Göteborg,€80K,RWB
G. Nyberg,Sweden,52,IK Sirius,€60K,GK
S. Kayembe,Sweden,52,IK Sirius,€80K,LM
J. Diaz,Colombia,52,Independiente Medellín,€110K,CM
Liang Jinhu,China PR,52,Jiangsu Suning FC,€60K,CB
Zhang Lingfeng,China PR,52,Jiangsu Suning FC,€80K,RM
Nan Xiaoheng,China PR,52,Jiangsu Suning FC,€70K,ST
N. Hatta,Japan,52,Júbilo Iwata,€30K,GK
A. Ahl Holmström,Sweden,52,Kalmar FF,€110K,ST
K. Kubota,Japan,52,Kashima Antlers,€90K,CDM
H. Saruta,Japan,52,Kashiwa Reysol,€90K,GK
M. Y?ld?z,Turkey,52,Kasimpa?a SK,€60K,GK
R. Millen,Scotland,52,Kilmarnock,€60K,RB
P. Sokó?,Poland,52,Korona Kielce,€100K,GK
B. Chevreuil,Haiti,52,La Berrichonne de Châteauroux,€70K,CAM
D. Murphy,Republic of Ireland,52,Limerick FC,€70K,LCM
C. Walsh-O'Loghlen,Republic of Ireland,52,Limerick FC,€110K,LM
C. Blues,Scotland,52,Livingston FC,€80K,CM
F. Gemmi,Italy,52,Livorno,€60K,CDM
T. Romboli,Italy,52,Livorno,€90K,GK
L. Simpson,England,52,Macclesfield Town,€50K,GK
A. Lesiotis,Australia,52,Melbourne City FC,€90K,CDM
J. Delianov,Australia,52,Melbourne City FC,€80K,GK
R. Najjarine,Australia,52,Melbourne City FC,€100K,LW
G. Newell,England,52,Motherwell,€80K,ST
J. Brendieck,Germany,52,MSV Duisburg,€90K,GK
D. Bedoya,Colombia,52,New York City FC,€70K,CAM
J. Iaciofano,England,52,Northampton Town,€100K,ST
R. Campbell,England,52,Notts County,€100K,ST
O. Björtuft,Norway,52,Odds BK,€100K,CB
H. Abdulmajeed,Saudi Arabia,52,Ohod Club,€60K,GK
A. Al Suhaimi,Saudi Arabia,52,Ohod Club,€70K,RM
O. Kåhed,Sweden,52,Örebro SK,€80K,RWB
A. Mahlonoko,South Africa,52,Orlando Pirates,€100K,CAM
J. Stevens,England,52,Oxford United,€50K,GK
P. Durin,Croatia,52,Portsmouth,€90K,GK
J. Skov Hansen,Denmark,52,Randers FC,€60K,RM
K. Høgh,Denmark,52,Randers FC,€100K,ST
E. Ceide,Norway,52,Rosenborg BK,€110K,RW
J. Olstad,Norway,52,Sarpsborg 08 FF,€100K,ST
J. Larsen,Norway,52,Sarpsborg 08 FF,€100K,ST
A. Knüver,Germany,52,SC Preußen Münster,€70K,CM
S. Boyd,Republic of Ireland,52,Shamrock Rovers,€110K,ST
Chen Zhechao,China PR,52,Shandong Luneng TaiShan FC,€70K,CM
Yao Junsheng,China PR,52,Shandong Luneng TaiShan FC,€70K,RCM
D. Parkhouse,Northern Ireland,52,Sheffield United,€100K,ST
C. Kirby,England,52,Sheffield Wednesday,€110K,CM
K. Sanada,Japan,52,Shonan Bellmare,€90K,GK
R. Sears,England,52,Shrewsbury,€70K,RB
N. Marthinussen,Norway,52,SK Brann,€80K,CB
T. Koch,Austria,52,SK Sturm Graz,€100K,CDM
A. Weidinger,Germany,52,SSV Jahn Regensburg,€60K,GK
A. McCann,Scotland,52,St. Johnstone FC,€100K,CM
K. Askildsen,Norway,52,Stabæk Fotball,€110K,CM
L. Smyth,Northern Ireland,52,Stevenage,€110K,ST
A. Georgiou,Cyprus,52,Stevenage,€90K,ST
S. Pryce,England,52,Swindon Town,€80K,ST
M. Tilio,Australia,52,Sydney FC,€100K,CAM
Wu Wei,China PR,52,Tianjin Quanjian FC,€60K,CDM
E. Gumbs,England,52,Tranmere Rovers,€90K,CB
G. Severinsen,Norway,52,Tromsø IL,€90K,CDM
A. Vergara,Chile,52,Unión La Calera,€70K,ST
R. Yamamoto,Japan,52,V-Varen Nagasaki,€100K,CF
